country,"GDP 
($ USD billions PPP) (2018)","GDP 
($ USD billions PPP) (2019)","GDP 
($ USD billions PPP) (2020)","GDP 
($ USD billions PPP) (2021)",GDP per capita in $ (PPP) (2018),GDP per capita in $ (PPP) (2019),GDP per capita in $ (PPP) (2020),GDP per capita in $ (PPP) (2021),"health expenditure 
% of GDP (2014)","health expenditure 
% of GDP (2015)","health expenditure 
% of GDP (2016)","health expenditure 
% of GDP (2017)","health expenditure 
% of GDP (2018)","health expenditure 
% of GDP (2019)","health expenditure 
% of GDP (2020)","health expenditure 
% of GDP (2021)","health expenditure 
per person (2015)","health expenditure 
per person (2018)","health expenditure 
per person (2019)",unemployment (%) (2018),unemployment (%) (2021),Military Spending as % of GDP (2021),Military Spending as % of GDP (2019)
AFG,75.6,78.6,76.7,,2082.0,2152.0,2078.0,,3.7,3.26,3.51,3.37,3.2,3.21,,,184.0,70.0,65.8,8.5,13.28,,1.2
ALB,38.2,39.0,37.6,40.8,13498.0,13999.0,13632.0,15646.0,3.05,3.44,3.96,3.61,,3.92,3.1,,774.0,274.9,,16.3,11.82,1.42,1.3
DZA,491.1,496.1,470.8,488.9,11909.0,12008.0,11323.0,12037.0,,,7.34,6.51,5.87,6.1,,,1031.0,256.0,248.2,11.2,12.7,5.59,6.0
AGO,215.1,213.6,201.9,203.3,7149.0,6995.0,6478.0,6581.0,3.12,3.49,2.75,2.47,2.04,1.93,2.42,,196.0,87.3,71.3,6.6,8.53,1.13,1.6
ARG,1012.1,991.6,893.5,985.2,23291.0,22997.0,20769.0,23627.0,5.36,5.78,5.55,5.45,4.88,4.72,,,1390.0,1127.9,946.0,6.6,10.9,0.57,0.7
ARM,37.5,40.4,37.4,39.5,13019.0,14230.0,13311.0,14630.0,2.25,2.81,2.76,2.71,2.26,2.56,2.71,,883.0,422.3,524.0,16.8,20.9,4.44,4.9
AUS,1224.9,1250.8,1250.7,1269.2,50169.0,51748.0,53317.0,55807.0,5.16,5.32,5.29,5.14,5.12,,,,4492.0,5364.5,5427.5,5.7,5.11,1.98,1.9
AUT,488.5,495.8,462.4,483.1,56960.0,58076.0,55686.0,58427.0,5.45,5.46,5.48,5.37,5.22,,,,5138.0,5322.3,5242.2,6.1,6.3,0.8,0.7
AZE,141.2,144.8,138.5,146.3,14549.0,15052.0,14479.0,15843.0,2.63,2.95,2.9,2.47,2.46,2.68,,,1191.0,168.4,193.1,5.1,6.58,5.27,4.0
BHS,14.0,14.2,10.8,12.3,37066.0,38064.0,29065.0,34108.0,2.5,2.25,2.33,2.42,2.25,2.29,2.37,2.78,1699.0,2002.4,2004.6,15.3,13.24,,
BHR,72.8,74.4,70.7,72.3,47486.0,47224.0,43821.0,45411.0,2.47,2.67,2.87,2.32,2.37,2.09,2.15,,2453.0,994.2,940.4,1.3,1.87,3.56,3.7
BGD,838.8,904.9,936.1,1001.1,5322.0,5784.0,5995.0,6613.0,,,1.54,,,1.33,,,88.0,41.9,45.9,4.1,5.23,1.27,1.3
BRB,4.5,4.4,3.8,3.9,15989.0,16154.0,14046.0,14817.0,6.14,5.38,4.71,4.37,5.43,3.2,3.06,6.45,1234.0,1164.5,1143.3,11.4,10.41,,
BLR,179.1,181.6,180.0,184.5,19428.0,20093.0,20238.0,21699.0,4.82,4.79,4.95,4.79,5.38,4.98,4.95,,1085.0,351.0,399.4,0.5,4.74,1.16,1.2
BEL,584.4,596.7,562.8,598.0,52535.0,54278.0,53070.0,58931.0,6.59,6.45,6.46,6.43,6.38,,,,4782.0,5134.4,4960.4,8.3,6.42,1.08,0.9
BLZ,2.7,2.8,2.3,2.6,7319.0,7455.0,6166.0,6921.0,6.61,6.87,7.29,7.45,7.47,7.14,7.53,8.71,524.0,286.0,293.4,11.0,8.22,1.25,1.2
BEN,36.3,38.8,40.3,42.9,3236.0,3426.0,3505.0,3789.0,3.16,3.17,2.9,3.54,2.93,2.97,3.0,,84.0,31.1,29.1,1.0,1.57,0.56,0.7
BTN,8.6,9.1,8.1,,11620.0,12366.0,11129.0,,6.04,7.59,6.99,7.23,6.85,5.68,,,287.0,102.7,116.0,2.4,4.33,,
BOL,98.3,100.4,91.7,97.3,8862.0,9093.0,8283.0,9030.0,8.26,8.94,8.85,8.66,8.9,,,,446.0,235.7,245.9,3.7,8.51,1.54,1.4
BIH,47.8,49.2,47.6,51.0,14918.0,15711.0,15598.0,16846.0,,,,,,,,,1102.0,539.9,553.8,25.8,15.22,0.89,0.9
BWA,36.6,37.8,34.5,38.4,16610.0,17097.0,15471.0,17604.0,,7.81,7.97,7.3,6.72,6.91,8.74,,970.0,494.2,481.5,18.4,24.72,2.86,2.8
BRA,3072.5,3110.1,2989.4,3127.5,15019.0,15358.0,14834.0,16056.0,5.95,6.24,6.31,6.32,6.09,,,,1392.0,866.2,853.4,11.5,14.4,1.19,1.5
BRN,25.9,26.9,27.2,26.8,61832.0,64719.0,65607.0,66620.0,3.35,,4.43,,,,,,2083.0,763.1,671.6,2.0,7.65,3.26,3.3
BGR,156.0,162.3,155.2,161.7,23016.0,24498.0,24564.0,26705.0,,,,4.08,,,,,1492.0,689.9,697.9,8.0,5.42,1.59,3.2
BFA,41.8,44.2,45.1,48.2,2168.0,2267.0,2274.0,2462.0,4.05,3.67,,5.63,5.49,5.7,5.52,,96.0,40.3,42.3,3.0,4.76,2.89,2.4
BDI,8.5,8.7,8.7,8.8,780.0,783.0,771.0,793.0,6.78,6.37,4.69,4.76,5.08,5.35,5.04,,64.0,22.4,20.6,1.6,1.79,1.92,1.8
CPV,3.7,3.9,3.4,3.6,7028.0,7475.0,6376.0,7028.0,4.96,5.27,5.29,5.18,5.37,4.73,7.58,,310.0,190.5,177.9,10.5,,,
KHM,67.6,72.4,70.1,72.2,4259.0,4574.0,4423.0,4683.0,1.91,2.6,2.8,3.2,2.16,,,,210.0,92.9,113.3,0.3,15.42,2.32,2.3
CMR,93.6,96.9,97.3,100.7,3801.0,3901.0,3867.0,4064.0,2.58,2.66,2.56,3.06,3.03,3.08,3.17,,163.0,53.2,54.0,4.5,0.61,1.02,1.1
CAN,1814.8,1848.9,1752.2,1832.1,49993.0,49299.0,46572.0,52085.0,,,,,,,,,4600.0,5018.7,5048.4,7.1,3.87,1.32,1.3
CAF,4.4,4.5,4.5,4.6,955.0,986.0,989.0,1021.0,2.22,1.91,1.75,1.75,1.57,1.77,2.17,,32.0,53.7,37.2,6.9,7.51,1.86,1.5
TCD,24.4,25.2,24.8,24.5,1614.0,1646.0,1592.0,1591.0,2.6,2.4,2.3,2.45,2.26,2.37,2.91,,100.0,29.7,29.9,5.8,1.88,2.79,2.2
CHL,468.9,472.5,444.2,496.1,25527.0,25323.0,25089.0,29104.0,4.73,4.88,5.34,5.42,5.43,,,,1903.0,1455.1,1375.8,6.6,9.13,1.96,1.8
CHN,21229.4,22492.6,22996.4,24861.3,15496.0,16652.0,17189.0,19338.0,3.73,3.82,3.79,3.67,3.54,3.54,3.57,,762.0,501.1,535.1,4.6,4.82,1.74,1.9
COL,710.9,733.5,681.8,753.9,15044.0,15673.0,14868.0,16894.0,4.63,4.47,4.48,4.54,4.45,4.51,4.93,,853.0,513.2,495.3,9.9,14.34,3.4,3.2
COM,2.6,2.6,2.6,2.7,3147.0,3188.0,3148.0,3284.0,2.74,2.55,,,,,,,121.0,69.4,72.3,20.0,9.45,,
COD,91.3,95.3,96.9,102.5,1112.0,1144.0,1142.0,1219.0,1.95,2.17,2.12,1.45,,,2.45,2.7,34.0,18.5,20.6,3.6,5.43,0.56,2.7
COG,20.6,20.6,19.3,18.6,4022.0,3987.0,3689.0,3617.0,3.18,3.28,5.24,4.45,3.0,3.58,4.45,,203.0,49.5,48.6,11.2,23.01,2.91,0.7
CRI,103.4,105.9,101.6,109.3,21319.0,22632.0,22244.0,23387.0,6.68,6.87,6.89,7.07,6.77,6.8,6.71,,1286.0,909.7,921.6,9.0,17.95,,0.0
CIV,126.2,134.0,136.7,146.3,5154.0,5433.0,5465.0,5940.0,3.31,3.49,3.97,3.8,3.24,3.72,3.44,,190.0,72.2,75.1,9.3,3.47,1.25,1.1
HRV,115.2,119.3,109.6,121.1,28877.0,30544.0,28780.0,33801.0,,,,3.85,3.91,,,,1656.0,1014.2,1040.1,13.5,8.68,2.74,1.7
CUB,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,986.9,1031.9,2.9,2.76,,2.9
CYP,34.8,36.6,34.8,36.7,40559.0,42339.0,39593.0,42556.0,6.44,6.33,6.15,5.72,,,,,2137.0,1981.8,1996.5,11.7,6.13,1.99,1.6
CZE,424.5,437.3,412.0,425.8,41135.0,42847.0,41608.0,44261.0,3.97,5.75,5.55,3.81,4.27,,,,2470.0,1765.6,1844.2,4.0,2.89,1.43,1.2
DNK,325.5,332.4,325.5,340.8,57483.0,58701.0,60230.0,64651.0,7.63,,,7.75,6.79,,,,5083.0,6216.8,6003.3,6.1,4.8,1.37,1.3
DJI,4.9,5.1,5.2,5.4,5181.0,5482.0,5533.0,5926.0,,3.59,3.92,3.75,3.63,,,,147.0,71.1,61.8,6.6,28.39,,3.7
DOM,188.2,197.7,184.4,207.1,18135.0,19190.0,17934.0,20769.0,3.96,3.82,3.85,3.92,3.93,4.04,4.62,,873.0,461.5,491.1,14.4,8.5,0.65,0.7
ECU,197.5,197.5,182.2,189.9,11838.0,11850.0,10890.0,11661.0,5.26,5.0,4.36,4.61,4.62,4.23,4.13,,980.0,495.2,486.5,5.4,6.43,2.46,2.3
EGY,1118.7,1180.9,1223.0,1263.7,11638.0,12260.0,12606.0,13316.0,4.25,3.93,4.05,,,2.61,2.48,,495.0,125.5,149.8,12.0,9.33,1.3,1.2
SLV,55.3,56.6,51.8,57.4,8822.0,9147.0,8420.0,9669.0,3.82,3.91,3.83,3.73,3.61,3.39,,,578.0,288.5,300.1,6.3,5.94,1.37,1.2
GNQ,26.7,25.2,24.2,23.9,20873.0,19385.0,18158.0,18127.0,,,,,,,,,790.0,310.6,254.9,7.3,9.24,1.31,1.1
ERI,0.0,0.0,0.0,0.0,,,,,,,,,,,,,56.0,24.0,25.3,7.3,8.05,,
EST,46.4,48.3,46.9,50.8,36249.0,37851.0,37645.0,42192.0,4.39,5.14,5.16,4.96,5.26,,,,1887.0,1552.6,1598.8,6.9,6.33,2.16,2.1
SWZ,9.7,9.9,9.8,10.5,8725.0,9018.0,8865.0,9816.0,7.07,5.36,5.41,6.14,5.68,5.65,5.34,5.0,,298.1,264.1,25.3,25.76,1.7,1.8
ETH,229.8,249.0,264.1,278.9,2154.0,2315.0,2423.0,2600.0,4.6,4.74,5.06,5.65,5.07,,,,66.0,24.3,26.7,5.7,3.69,0.53,0.6
FJI,12.2,12.2,10.3,9.9,14177.0,14262.0,12158.0,12060.0,4.27,4.81,4.84,4.65,4.84,5.07,,,331.0,216.1,235.7,7.9,5.24,1.65,1.6
FIN,265.0,268.3,262.1,271.2,49581.0,50322.0,50937.0,55007.0,7.1,7.03,6.85,6.36,6.28,,,,3669.0,4515.7,4450.3,9.0,7.53,2.03,1.5
FRA,3038.6,3094.6,2851.6,3050.1,46577.0,49072.0,46991.0,50729.0,,,,5.45,5.41,,,,4542.0,4657.8,4491.7,10.0,8.06,1.95,1.9
GAB,31.2,32.5,31.9,32.4,15096.0,15577.0,15105.0,15598.0,2.67,2.99,2.66,3.33,2.93,2.73,3.18,,481.0,218.5,215.0,18.5,22.26,1.71,1.6
GMB,4.9,5.2,5.2,5.5,2210.0,2320.0,2277.0,2434.0,2.23,2.16,2.02,2.46,2.37,2.79,2.76,,,35.8,29.7,29.7,11.21,0.75,0.8
GEO,53.1,55.8,52.0,57.4,14594.0,15622.0,14731.0,16997.0,3.0,3.16,3.59,3.57,3.52,3.81,3.85,,718.0,312.7,291.1,11.6,10.66,1.67,2.0
DEU,4434.4,4481.2,4276.4,4400.1,55235.0,55653.0,54845.0,57928.0,4.92,4.86,4.84,4.87,4.98,,,,5357.0,5482.0,5440.3,4.3,3.54,1.34,1.3
GHA,158.2,168.5,169.4,178.5,5442.0,5774.0,5750.0,6178.0,4.4,4.43,4.39,3.53,3.89,,,,249.0,76.8,75.3,5.8,4.7,0.49,0.4
GRC,312.8,318.4,289.7,313.8,29618.0,30356.0,27949.0,31295.0,,3.66,,3.48,3.6,,,,2204.0,1572.7,1500.6,23.9,14.8,3.87,2.6
GTM,138.3,143.7,141.5,152.1,8664.0,9019.0,8853.0,9769.0,2.99,3.03,2.94,2.95,3.14,3.2,3.3,,444.0,259.6,271.0,2.4,3.57,0.44,0.4
GIN,31.0,32.8,34.3,35.4,2559.0,2675.0,2754.0,2879.0,2.42,2.52,2.54,2.32,2.38,1.85,2.2,,57.0,35.7,43.0,6.8,6.34,1.48,2.0
GNB,3.6,3.7,3.6,3.8,1947.0,2021.0,1949.0,2057.0,2.2,2.3,2.3,2.2,2.14,2.95,2.71,,100.0,61.2,62.6,6.5,6.76,1.78,1.4
GUY,9.7,10.2,14.7,17.6,12776.0,13634.0,19703.0,24494.0,4.36,3.9,4.74,4.66,4.45,,,,336.0,301.4,325.9,11.4,16.42,0.96,1.7
HTI,35.2,34.6,33.5,32.9,3241.0,3203.0,3095.0,3127.0,1.75,1.86,1.4,1.5,1.63,,,,120.0,63.1,57.0,13.2,15.73,0.19,0.0
HND,54.5,55.9,50.9,57.3,5816.0,5978.0,5420.0,6253.0,7.09,6.41,5.16,4.94,6.06,4.91,6.44,,353.0,180.9,187.6,6.3,8.51,1.61,1.6
HUN,304.2,318.1,303.9,325.5,62514.0,62103.0,58980.0,65973.0,4.6,4.49,4.61,4.61,4.62,,,,1912.0,1074.0,1062.4,5.2,4.12,1.64,1.2
ISL,20.0,20.5,19.2,19.9,31913.0,33515.0,33274.0,36753.0,7.64,7.46,7.43,7.58,7.56,,,,4116.0,6565.9,6275.0,3.8,5.4,,0.0
IND,8811.1,9140.5,8537.6,9301.5,6670.0,6972.0,6525.0,7334.0,,4.11,4.25,4.31,4.36,4.41,4.47,,238.0,60.3,63.7,3.5,5.98,2.66,2.4
IDN,3043.9,3196.7,3130.6,3246.2,11643.0,12311.0,12072.0,12904.0,3.29,3.58,3.5,2.67,3.0,2.84,,,369.0,111.7,120.1,5.6,4.41,0.7,0.7
IRN,1252.5,1235.7,1257.5,0.0,15677.0,15533.0,15791.0,,2.8,2.8,3.37,3.79,3.96,3.66,3.59,,1262.0,484.3,470.4,11.3,11.46,2.3,2.3
IRQ,405.7,428.1,379.6,390.2,10808.0,11349.0,9954.0,10409.0,,4.49,4.71,,,,,,481.0,239.4,253.3,16.0,14.19,2.28,3.5
IRL,407.5,427.6,452.6,513.7,84556.0,87380.0,93350.0,106456.0,4.88,3.76,3.74,3.51,3.39,,,,5335.0,5484.2,5428.6,8.1,6.63,0.26,0.3
ISR,354.5,367.8,359.9,389.4,39906.0,40004.0,39489.0,43722.0,5.77,5.86,5.86,6.06,6.11,,,,2819.0,3329.2,3456.4,5.6,5.05,5.17,5.3
ITA,2540.5,2553.2,2322.8,2477.1,43036.0,44376.0,41988.0,45936.0,4.06,4.07,3.82,4.04,4.26,,,,3351.0,3000.7,2905.5,11.5,9.83,1.52,1.4
JAM,28.6,28.8,25.9,27.1,9967.0,10190.0,9241.0,10026.0,6.02,5.46,5.31,5.26,5.41,5.16,5.62,6.03,511.0,319.9,327.4,13.3,9.18,1.41,1.6
JPN,5293.0,5280.3,5042.3,5124.0,42116.0,42283.0,42100.0,42940.0,3.55,,3.15,3.13,3.08,,,,4405.0,4256.1,4360.5,3.1,2.8,1.07,0.9
JOR,99.8,101.7,100.2,102.4,10253.0,10496.0,10354.0,10952.0,3.8,3.45,3.45,3.23,2.98,2.99,,,568.0,335.2,334.0,13.2,19.25,5.02,4.7
